count	pubchem_cid	BalabanJ	BertzCT	Chi0	Chi0n	Chi0v	Chi1	Chi1n	Chi1v	Chi2n	Chi2v	Chi3n	Chi3v	Chi4n	Chi4v	EState_VSA1	EState_VSA10	EState_VSA11	EState_VSA2	EState_VSA3	EState_VSA4	EState_VSA5	EState_VSA6	EState_VSA7	EState_VSA8	EState_VSA9	ExactMolWt	FpDensityMorgan1	FpDensityMorgan2	FpDensityMorgan3	FractionCSP3	HallKierAlpha	HeavyAtomCount	HeavyAtomMolWt	Ipc	Kappa1	Kappa2	Kappa3	LabuteASA	MaxAbsEStateIndex	MaxAbsPartialCharge	MaxEStateIndex	MaxPartialCharge	MinAbsEStateIndex	MinAbsPartialCharge	MinEStateIndex	MinPartialCharge	MolLogP	MolMR	MolWt	NHOHCount	NOCount	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAliphaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumAromaticRings	NumHAcceptors	NumHDonors	NumHeteroatoms	NumRadicalElectrons	NumRotatableBonds	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	NumValenceElectrons	PEOE_VSA1	PEOE_VSA10	PEOE_VSA11	PEOE_VSA12	PEOE_VSA13	PEOE_VSA14	PEOE_VSA2	PEOE_VSA3	PEOE_VSA4	PEOE_VSA5	PEOE_VSA6	PEOE_VSA7	PEOE_VSA8	PEOE_VSA9	RingCount	SMR_VSA1	SMR_VSA10	SMR_VSA2	SMR_VSA3	SMR_VSA4	SMR_VSA5	SMR_VSA6	SMR_VSA7	SMR_VSA8	SMR_VSA9	SlogP_VSA1	SlogP_VSA10	SlogP_VSA11	SlogP_VSA12	SlogP_VSA2	SlogP_VSA3	SlogP_VSA4	SlogP_VSA5	SlogP_VSA6	SlogP_VSA7	SlogP_VSA8	SlogP_VSA9	TPSA	VSA_EState1	VSA_EState10	VSA_EState2	VSA_EState3	VSA_EState4	VSA_EState5	VSA_EState6	VSA_EState7	VSA_EState8	VSA_EState9	fr_Al_COO	fr_Al_OH	fr_Al_OH_noTert	fr_ArN	fr_Ar_COO	fr_Ar_N	fr_Ar_NH	fr_Ar_OH	fr_COO	fr_COO2	fr_C_O	fr_C_O_noCOO	fr_C_S	fr_HOCCN	fr_Imine	fr_NH0	fr_NH1	fr_NH2	fr_N_O	fr_Ndealkylation1	fr_Ndealkylation2	fr_Nhpyrrole	fr_SH	fr_aldehyde	fr_alkyl_carbamate	fr_alkyl_halide	fr_allylic_oxid	fr_amide	fr_amidine	fr_aniline	fr_aryl_methyl	fr_azide	fr_azo	fr_barbitur	fr_benzene	fr_benzodiazepine	fr_bicyclic	fr_diazo	fr_dihydropyridine	fr_epoxide	fr_ester	fr_ether	fr_furan	fr_guanido	fr_halogen	fr_hdrzine	fr_hdrzone	fr_imidazole	fr_imide	fr_isocyan	fr_isothiocyan	fr_ketone	fr_ketone_Topliss	fr_lactam	fr_lactone	fr_methoxy	fr_morpholine	fr_nitrile	fr_nitro	fr_nitro_arom	fr_nitro_arom_nonortho	fr_nitroso	fr_oxazole	fr_oxime	fr_para_hydroxylation	fr_phenol	fr_phenol_noOrthoHbond	fr_phos_acid	fr_phos_ester	fr_piperdine	fr_piperzine	fr_priamide	fr_prisulfonamd	fr_pyridine	fr_quatN	fr_sulfide	fr_sulfonamd	fr_sulfone	fr_term_acetylene	fr_tetrazole	fr_thiazole	fr_thiocyan	fr_thiophene	fr_unbrch_alkane	fr_urea	qed	Molecular_weight	LogP	Number_of_HBA_1	Number_of_HBA_2	Number_of_HBD_1	Number_of_HBD_2	Number_of_acidic_groups	Number_of_aliphatic_OH_groups	Number_of_basic_groups	Fraction_of_rotatable_bonds	Number_of_heavy_bonds	Number_of_heterocycles	Number_of_hydrophobic_groups	MolarRefractivity	Number_of_bonds	Number_of_NO2_groups	Number_of_SO_groups	Number_of_OSO_groups	Number_of_SO2_groups	PolarSurfaceArea	Geometrical_diameter	Geometrical_radius	Geometrical_shape_coefficient	Kier_shape_1	Kier_shape_2	Zagreb_group_index_1	Zagreb_group_index_2	Ncharges	C	H	N	O	RNH2	R2NH	R3N	ROPO3	ROH	RCHO	RCOR	RCOOH	RCOOR	ROR	RCCH	RCN	RINGS	AROMATIC	F	Cl	Br	S	P	B	I	K	Sb	Hg	Pt	V	Zn	Cr	Se	As	abonds	atoms	dbonds	logP	nF	sbonds	tbonds
28	5702095.0	1.670868835	595.3187269	15.53516943	13.52882399	13.52882399	10.48311201	8.910041619	8.910041619	8.259188359	8.259188359	7.592326546	7.592326546	6.304070256	6.304070256	5.601050811	9.901064579	0.0	5.414990469	23.53696308	51.36657298	11.99392615	5.57310453	0.0	12.84417152	6.423349896	298.1932801	1.181818182	2.0	2.772727273	0.75	-1.07	22	272.218	148000.491	14.51772042	4.712373653	1.752420443	132.9152048	11.7462045	0.377033867	11.7462045	0.13675729	0.105688264	0.13675729	-0.902950864	-0.377033867	3.6366	85.9458	298.426	1	2	4	0	4	0	0	0	2	1	2	0	0	2	0	2	118	5.106527395	11.38429576	0.0	0.0	0.0	0.0	4.794537184	0.0	0.0	6.423349896	23.99038058	62.6994695	18.25663372	0.0	4	9.901064579	5.783244946	0.0	0.0	23.16870861	70.31218262	0.0	11.14620906	0	12.34378421	0.0	0.0	0.0	0.0	16.49082315	4.794537184	35.51249282	64.71113181	11.14620906	0.0	0.0	0	37.3	0	0.0	0	0	0	0.0	0	0	0.0	46.5	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.547468704	298.4259932	7.7953	28	2	1	1	0	1	0	0.0	25	0	0	116.4458	51	0	0	0	0	37.3	9.788998931	0.96576348	9.136021016	15.5232	5.25	280	328	0	20	26	0	2	0	0	0	0	1	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	2	3.6366	0	48	1
28	6710614.0	1.837691879	804.7488255	20.69830613	16.61308763	16.61308763	12.96323339	10.14233533	10.14233533	9.749150874	9.749150874	8.791253205	8.791253205	7.26103317	7.26103317	52.42969696	24.90865655	4.390415048	18.12197262	24.8355694	0.0	12.15204021	26.84723171	0.0	0.0	0.0	392.1999022	1.321428571	2.0	2.642857143	0.727272727	-1.37	28	363.235	1500075.637	19.92530949	5.832747548	2.014263809	163.8717856	16.85906329	0.389712416	16.85906329	0.189906192	0.067556453	0.189906192	-1.980464026	-0.389712416	1.8957	99.9444	392.467	3	5	4	0	4	0	0	0	5	3	6	0	2	3	0	3	154	15.31958218	12.20793278	17.23524971	0.0	0.0	0.0	9.589074368	4.390415048	0.0	0.0	25.49659904	56.594876	16.74788698	6.103966388	4	29.2990716	11.56648989	0.0	0.0	28.58369908	63.82827511	6.606881965	23.80116485	0	0.0	0.0	4.390415048	0.0	0.0	50.86673106	9.589074368	28.58369908	46.45449809	23.80116485	0.0	0.0	0	94.83	0	0.0	0	0	0	0.0	0	0	16.85906329	57.97427005	0	3	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.667213497	392.4669906	6.2681	34	5	3	3	0	3	0	0.064516129	31	0	0	133.6234	60	0	0	0	0	94.83	10.16762174	0.971196513	9.469170347	21.24037461	6.497686009	325	386	0	22	29	0	5	0	0	0	0	3	0	2	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	4	1.8957	1	56	0
24	4062.0	2.109479849	421.8697839	13.12095586	11.49329009	11.49329009	8.592224153	6.666704757	6.666704757	5.248246928	5.248246928	3.802416252	3.802416252	2.624507565	2.624507565	0.0	4.794537184	0.0	11.94902056	0.0	36.20068891	6.420821623	0.0	39.09424759	10.21669833	0.0	246.1732133	1.277777778	1.944444444	2.555555556	0.533333333	-1.35	18	224.178	12251.53485	13.09041763	5.527843562	2.724930931	109.1812689	12.32958711	0.324235097	12.32958711	0.241234393	0.025700113	0.241234393	0.025700113	-0.324235097	2.72624	74.8147	246.354	1	3	0	1	1	1	0	1	2	1	3	0	2	0	1	1	98	5.316788604	0.0	0.0	5.907179729	0.0	0.0	9.694446915	0.0	0.0	0.0	24.61992283	51.40844902	5.687386275	6.041840829	2	4.794537184	11.594566	0.0	4.899909731	0.0	39.1517801	18.90921699	29.32600419	0	0.0	5.316788604	5.687386275	0.0	0.0	30.44135868	4.794537184	13.8474744	30.38936785	18.19910121	0.0	0.0	0	32.34	0	0.0	0	0	0	0.0	0	0	0.0	37.5	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.869904321	246.3539951	7.2635	24	2	2	2	0	0	1	0.157894737	19	1	0	97.4063	41	0	0	0	0	33.54	9.752972483	0.998414614	8.768459256	14.4099723	6.437869822	210	211	0	15	22	2	1	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	40	1	2.7371	0	34	0
28	5405.0	1.317281346	992.9311441	24.89069429	21.52899256	21.52899256	16.78086021	13.12531854	13.12531854	11.14438143	11.14438143	7.719571089	7.719571089	5.477087555	5.477087555	11.7050172	10.21305479	0.0	11.33289652	0.0	62.00791018	5.563451492	0.0	36.39820241	74.20205788	0.0	471.3137296	0.771428571	1.285714286	1.771428571	0.4375	-2.46	35	430.357	75685458.59	25.62749041	11.07416337	6.033378319	210.9972512	12.05798673	0.388420735	12.05798673	0.117481531	0.127760332	0.117481531	-0.968232608	-0.388420735	6.4458	144.3826	471.685	2	3	0	1	1	3	0	3	3	2	3	0	8	0	1	1	186	15.11296452	5.601050811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.7003506	78.90425819	0.0	6.103966388	4	10.21305479	0.0	0.0	4.899909731	5.917906046	63.57450576	19.63426922	107.1829449	0	0.0	0.0	0.0	0.0	0.0	34.74723374	11.01604128	5.917906046	74.81227045	84.92913896	0.0	0.0	0	43.7	0	0.0	0	0	0	0.0	0	0	0.0	70.33333333	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.396948941	471.6849896	12.7054	43	2	3	3	0	2	1	0.236842105	38	1	0	188.6595	79	0	0	0	0	44.9	14.91530843	0.966674567	14.42950331	28.01939058	12.69753086	403	438	0	32	41	1	2	0	0	1	0	2	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	76	0	6.3837	0	61	0
30	3387354.0	1.827771724	1534.00039	19.72288568	15.80688832	15.80688832	14.73718344	10.2616749	10.2616749	8.377497828	8.377497828	7.027452314	7.027452314	6.011242619	6.011242619	0.0	9.589074368	0.0	24.2701618	11.12690298	56.45334297	0.0	0.0	36.39820241	26.58372204	4.736862954	393.1113413	0.733333333	1.2	1.7	0.166666667	-3.64	30	378.282	30229154.38	15.23322372	4.737637725	1.461808477	169.1549359	13.01397251	0.334594551	13.01397251	0.259164139	0.085668462	0.259164139	-0.313000992	-0.334594551	4.6072	112.6357	393.402	1	6	0	3	3	3	2	5	5	1	6	0	0	0	1	1	144	13.87106225	12.45580234	0.0	0.0	11.81435946	0.0	14.90586297	0.0	0.0	0.0	36.39820241	24.97437738	21.54489686	33.19370585	8	14.32593732	55.42605919	0.0	14.4509879	0.0	25.29744559	0.0	59.65783953	0	0.0	5.316788604	0.0	0.0	0.0	20.94855875	4.736862954	0.0	46.01342294	48.53093655	0.0	43.61169973	0	65.26	0	0.0	0	0	0	0.0	0	0	4.51138133	61.15528534	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	13	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.390964953	393.4019912	7.2046	19	6	1	1	0	0	0	0.0	37	5	0	126.4446	52	0	0	0	0	65.26	12.97862442	1.036988162	11.51569198	18.42951059	6.315555556	277	346	0	24	15	3	3	0	1	2	0	0	0	0	0	0	1	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	45	2	4.3631	0	22	0
30	107751.0	1.838037184	749.2916286	19.4849169	15.22052154	16.03701812	13.0417139	8.688723478	9.674322038	6.053318311	7.250241736	3.833102825	4.808664683	2.436583597	3.141701954	11.88721133	14.38361155	0.0	24.17409503	12.17367523	22.88878793	6.9237372	0.0	60.66367068	5.316788604	4.736862954	385.1347792	0.962962963	1.555555556	2.148148148	0.285714286	-2.6	27	362.301	1075847.024	20.70876062	11.18463649	8.087990581	163.0440601	12.49529923	0.459503409	12.49529923	0.325242837	0.038766202	0.325242837	-0.495476715	-0.459503409	2.9846	106.0227	385.485	1	5	0	0	0	2	0	2	5	1	6	0	9	0	0	0	142	10.05365156	13.15163837	5.11527693	5.907179729	0.0	5.969305288	14.38361155	0.0	0.0	0.0	72.42555563	17.54772461	12.67659081	5.917906046	2	19.12047451	28.7536469	0.0	5.316788604	5.917906046	19.95144079	12.29761001	71.79057367	0	0.0	5.316788604	0.0	0.0	11.76188495	29.28937196	32.14817809	5.917906046	18.05064018	60.66367068	0.0	0.0	0	72.47	0	1.112829333	0	0	0	0.0	0	0	0.0	65.38717067	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.672058039	385.4849933	7.9506	29	6	1	1	0	0	0	0.428571429	28	0	0	130.6454	51	0	0	0	0	97.77	12.8380712	1.014791709	11.65094215	23.28061224	13.26530612	251	258	0	21	23	1	4	0	1	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	50	3	3.3755	0	36	0
24	5702094.0	1.642837115	683.8761265	17.81962648	15.34570074	15.34570074	11.89961423	9.807078978	9.807078978	8.863424571	8.863424571	7.970785502	7.970785502	6.858614543	6.858614543	5.601050811	9.589074368	0.0	11.38429576	35.87569075	44.94575136	12.49684173	0.0	6.076020107	12.84417152	11.16021285	340.2038448	1.2	2.0	2.72	0.727272727	-1.56	25	312.239	565586.8158	16.88419701	5.726927223	2.329476249	150.1259226	11.79126627	0.44542243	11.79126627	0.303672742	0.110822901	0.303672742	-0.729050401	-0.44542243	4.0633	95.423	340.463	0	3	4	0	4	0	0	0	3	0	3	0	1	3	0	3	134	4.736862954	0.0	11.38429576	0.0	0.0	5.969305288	9.589074368	0.0	0.0	6.423349896	18.41727605	74.69339565	18.75954929	0.0	4	14.32593732	11.75255023	0.0	0.0	29.08661465	70.81509819	0.0	11.64912464	0	12.34378421	0.0	0.0	0.0	0.0	17.35360105	14.32593732	41.43039887	65.21404738	11.64912464	0.0	0.0	0	43.37	0	0.0	0	0	0	0.0	0	0	0.0	54.83333333	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.533858176	340.4629922	9.0735	31	3	0	0	0	0	0	0.071428571	28	0	0	127.959	56	0	0	0	0	43.37	12.77173291	1.073514034	10.89712711	18.36734694	6.55785124	306	354	0	22	28	0	3	0	0	0	0	0	0	1	0	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	3	4.0633	0	52	1
28	11373846.0	1.673497421	1212.337937	22.33613434	16.101477	16.101477	14.63004886	9.249877752	9.249877752	7.206760279	7.206760279	5.129954647	5.129954647	3.644205721	3.644205721	29.38205663	27.15073456	0.0	29.28553147	16.46637642	12.13273414	37.38604905	0.0	0.0	20.83094082	0.0	432.1209386	1.193548387	1.903225806	2.580645161	0.19047619	-3.69	31	416.249	8908889.676	20.57744851	7.530073968	4.004748646	172.8764367	14.40528147	0.415909843	14.40528147	0.415909843	0.081232087	0.32954565	-4.50229514	-0.32954565	4.237	104.3261	432.377	3	6	0	1	1	2	1	3	3	3	10	0	3	0	0	0	160	10.63357721	5.817220841	0.0	5.907179729	5.907179729	6.176298517	14.68775618	4.390415048	18.26992695	0.0	12.13273414	30.6862899	35.0614628	22.96438206	4	27.15073456	28.40467067	0.0	15.51415222	0.0	25.43876339	5.316788604	70.80931365	0	0.0	10.63357721	23.24904647	0.0	0.0	22.01172308	15.76537289	5.817220841	30.38936785	53.86518983	0.0	10.90292493	0	86.88	0	0.0	0	0	0	0.0	0	0	53.04177948	40.20822052	0	0	0	0	0	2	1	0	0	0	2	2	0	0	0	1	3	0	0	0	0	1	0	0	0	3	1	2	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.541469379	432.3769894	7.1173	21	5	3	3	0	0	0	0.147058824	34	2	0	118.7114	50	0	0	0	0	86.88	12.99066187	1.009021829	11.87451023	24.1349481	9.70011534	254	289	0	21	16	4	2	0	2	0	0	0	0	0	0	0	0	0	0	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	47	3	4.6388	4	31	0
22	133621.0	1.730849664	536.0951909	12.37203272	10.373696	10.373696	8.864504643	6.250305182	6.250305182	4.331207918	4.331207918	3.120161929	3.120161929	2.18522794	2.18522794	0.0	0.0	0.0	6.103966388	6.606881965	30.28900619	0.0	0.0	36.65915542	16.47481537	9.473725908	244.1211778	1.333333333	2.166666667	3.0	0.357142857	-1.97	18	228.166	27479.70471	11.13935463	4.722289668	2.056944644	106.1732471	5.926399282	0.485822817	5.926399282	0.161306875	0.034814815	0.161306875	0.034814815	-0.485822817	2.2855	67.958	244.294	0	4	0	1	1	1	1	2	4	0	4	0	3	0	0	0	94	14.04082556	18.53525285	11.49902367	0.0	0.0	0.0	0.0	4.983978521	0.0	0.0	12.13273414	19.05647134	25.35926517	0.0	3	9.473725908	0.0	0.0	9.551078169	0.0	25.99328162	6.606881965	42.48355992	0	11.49902367	9.473725908	0.0	11.49902367	0.0	22.26192652	12.96557803	0.0	12.7481417	36.65915542	0.0	0.0	0	36.28	0	0.0	0	0	0	0.0	0	0	2.128839758	34.70449358	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.830755645	244.2939949	5.6952	19	4	0	0	0	0	0	0.15	20	2	0	85.372	36	0	0	0	0	36.28	10.58330446	1.078568446	8.812362396	13.005	5.969821674	182	193	0	14	16	2	2	0	0	1	0	0	0	0	0	0	2	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	34	0	2.2855	0	25	0
31	2585.0	1.257537988	1108.717444	20.76093778	16.92858882	16.92858882	14.75835149	10.02849072	10.02849072	7.017565906	7.017565906	4.908631577	4.908631577	3.473374809	3.473374809	6.103966388	5.106527395	0.0	6.606881965	31.19541844	27.5553617	0.0	7.109797541	60.66367068	16.36713419	14.21058886	406.1892573	0.866666667	1.6	2.466666667	0.25	-3.22	30	380.274	11337344.21	20.0690591	9.518994463	4.503684747	174.9353711	10.28887125	0.492870021	10.28887125	0.16071264	0.207326891	0.16071264	-0.628033772	-0.492870021	3.738	118.6652	406.482	3	6	0	0	0	3	1	4	5	3	6	0	10	0	0	0	156	29.61788338	25.06724215	11.49902367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.39820241	30.33183534	29.37866196	12.62649826	4	19.31711626	21.80584986	0.0	10.30076712	0.0	6.103966388	33.41307428	66.73003775	0	17.2485355	19.52737747	0.0	17.2485355	0.0	49.60754659	0.0	0.0	0.0	66.73003775	0.0	21.80584986	0	75.74	0	0.0	0	0	0	0.0	0	0	0.0	64.5	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0.349960763	406.4819911	9.63	30	4	3	2	0	1	1	0.303030303	33	1	0	146.8823	59	0	0	0	0	80.32	10.44579625	0.977351735	9.687857681	23.16804408	11.74380165	292	311	0	24	26	2	4	0	2	0	0	1	0	0	0	0	3	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	56	0	4.1289	0	38	0
