pubchem	clname	auc
60164	NCIH28	1.243712143
60164	SW620	0.912255003
60164	YAPC	0.887615605
60164	CAKI1	1.257975897
60164	PC3	0.930949965
60164	TE6	0.919692272
60164	NCIH1651	1.143077554
5327	SF126	0.9003508
5327	SNGM	1.229447556
5327	ECGI10	1.497185651
5327	HCC15	1.221802369
5327	U2OS	1.918657965
5327	SH4	1.48323293
5327	NCIH28	1.122037283
5327	MCF7	1.44901923
5327	MDAMB175VII	1.053835009
5327	OSRC2	1.16429527
5327	TE10	1.502877143
5327	NCIH1915	1.517429231
5327	NCIH2228	1.300278049
5327	RKO	1.478106955
5327	AGS	1.390491267
5327	SF295	1.379844426
5327	SW620	1.377178594
5327	YAPC	1.33877354
5327	SKUT1	1.364737902
5327	A375	1.261862962
5327	HT1080	1.642696992
5327	SJSA1	1.300272469
5327	EFO27	1.265287756
5327	SNU61	1.678419021
5327	COLO668	1.197556777
5327	RMGI	1.398948972
5327	CAKI1	1.571884215
5327	OV7	1.67575088
5327	OVTOKO	1.334066681
5327	MSTO211H	1.2785377
5327	PC3	1.192943977
5327	RVH421	1.472114024
5327	SW1990	1.364646991
5327	TE6	1.320983518
5327	PANC0203	1.198526048
5327	CL34	1.711852648
5327	NCIH2087	1.508342158
5327	LOVO	1.455420451
5327	HUH7	1.681199855
5327	HCT116	1.180374755
5327	HCT15	1.399514285
5327	TE8	1.09286
5327	SNUC5	1.752992052
5327	NCIH1651	1.391490051
5327	RKN	1.242253359
5327	LN229	1.475261885
5327	A673	1.770312573
5327	NCIH838	1.25822947
5327	A549	1.442838314
5327	SW948	1.214782015
5327	CORL23	1.453243804
5327	MDAMB231	1.30258229
5327	HOS	1.346937968
5327	SNU449	1.265871787
5327	EBC1	1.486188088
5327	NCIH2347	1.459561503
6093	SF126	0.870048413
6093	SNGM	1.542899136
6093	ECGI10	1.342746295
6093	HCC15	1.237910042
6093	U2OS	1.574613061
6093	SH4	1.244861954
6093	MCF7	1.305516648
6093	MDAMB175VII	1.115076712
6093	OSRC2	1.28779548
6093	TE10	1.431600858
6093	NCIH1915	1.322960955
6093	NCIH2228	1.439853929
6093	RKO	1.596598822
6093	AGS	1.206980608
6093	SF295	1.513371879
6093	SW620	1.387586374
6093	YAPC	1.348782383
6093	SKUT1	1.431762186
6093	A375	1.204278996
6093	HT1080	1.225345583
6093	SJSA1	1.32456925
6093	EFO27	1.518128229
6093	SNU61	1.238318815
6093	COLO668	1.667882409
6093	RMGI	1.355863398
6093	OV7	1.484562415
6093	MSTO211H	1.166494803
6093	PC3	1.283199082
6093	SW1990	1.226179484
6093	TE6	1.30913117
6093	PANC0203	1.379000038
6093	CL34	1.483604924
6093	LOVO	1.216393268
6093	HPAC	1.475993734
6093	HUH7	1.580671674
6093	HCT116	1.190239721
6093	HCT15	1.377851533
6093	TE8	1.362474063
6093	NCIH1651	1.384588227
6093	RKN	1.343057792
6093	LN229	1.432060566
6093	A673	1.413868575
6093	NCIH838	1.096697071
6093	A549	1.238274672
6093	SW948	1.388853333
6093	CORL23	1.324626539
6093	CORL105	1.433835456
6093	MDAMB231	1.465386496
6093	HOS	1.302816453
6093	SNU449	1.157086201
6093	EBC1	1.413316468
6093	RCC10RGB	1.20161536
6093	NCIH2347	1.394381639
10074640	SF126	0.921339359
10074640	SNGM	1.877927293
10074640	ECGI10	1.259737592
10074640	HCC15	1.20110989
10074640	U2OS	1.919001778
10074640	SH4	1.374946197
10074640	NCIH28	1.371198148
10074640	MCF7	1.315969005
10074640	MDAMB175VII	0.986616965
10074640	OSRC2	1.416894616
10074640	TE10	1.261794245
10074640	NCIH1915	1.276975134
10074640	NCIH2228	1.27973284
10074640	RKO	1.265790321
10074640	AGS	1.424120822
10074640	SF295	1.089406524
10074640	SW620	1.313832331
10074640	SKUT1	1.161712164
10074640	A375	1.25848456
10074640	HT1080	1.605547031
10074640	SJSA1	1.421797566
10074640	EFO27	1.453891219
10074640	COLO668	1.444160512
10074640	RMGI	1.266593793
10074640	OV7	1.54051106
10074640	OVTOKO	0.855040851
10074640	MSTO211H	1.285693722
10074640	PC3	1.18770304
10074640	RVH421	1.2293855
10074640	SW1990	1.245620256
10074640	TE6	1.131941362
10074640	PANC0203	1.369339887
10074640	CL34	1.194240649
10074640	HPAC	1.695476524
10074640	HUH7	2.060413321
10074640	HCT116	1.184528043
10074640	HCT15	1.392718408
10074640	TE8	1.416587029
10074640	LN229	1.372251494
10074640	A673	1.324186296
10074640	NCIH838	0.860084269
10074640	A549	1.276050108
10074640	SW948	1.534033973
10074640	CORL23	1.316855625
10074640	CORL105	1.454532168
10074640	MDAMB231	1.32898281
10074640	HOS	1.37770493
10074640	SNU449	1.507634095
10074640	EBC1	1.395218666
10074640	NCIH2347	1.429821475
1547484	SF126	0.898860876
1547484	SNGM	1.284748078
1547484	ECGI10	1.36315843
1547484	HCC15	1.17440065
1547484	U2OS	1.599548326
1547484	SH4	1.540222156
1547484	NCIH28	1.043061989
1547484	MCF7	1.34252176
1547484	MDAMB175VII	1.051319888
1547484	OSRC2	1.319637712
1547484	TE10	1.272925871
1547484	NCIH1915	1.279525103
1547484	NCIH2228	1.264849453
1547484	RKO	1.42702379
1547484	AGS	1.322817733
1547484	SF295	1.346161286
1547484	SW620	1.270123361
1547484	YAPC	1.316731756
1547484	SKUT1	1.19632642
1547484	A375	1.118416617
1547484	HT1080	1.333611482
1547484	SJSA1	1.53877735
1547484	EFO27	1.33305765
1547484	SNU61	1.466930178
1547484	COLO668	1.03206709
1547484	RMGI	1.422213329
1547484	CAKI1	1.391511908
1547484	OV7	1.733240102
1547484	OVTOKO	1.30450766
1547484	MSTO211H	1.119921741
1547484	PC3	1.306882376
1547484	RVH421	1.31485723
1547484	SW1990	1.284722089
1547484	TE6	1.139176442
1547484	CL34	1.261714714
1547484	LOVO	1.236551467
1547484	HPAC	1.579940642
1547484	HUH7	1.587770787
1547484	HCT116	1.127878411
1547484	HCT15	1.145838956
1547484	TE8	1.370859613
1547484	SNUC5	1.563047249
1547484	NCIH1651	1.362470426
1547484	RKN	1.183662415
1547484	A673	1.549872208
1547484	NCIH838	1.018462564
1547484	A549	1.341183954
1547484	SW948	1.512803301
1547484	CORL23	1.225035834
1547484	MDAMB231	1.037287533
1547484	HOS	1.371882879
1547484	SNU449	1.281077441
1547484	EBC1	1.485454688
1547484	RCC10RGB	1.273665922
6918638	OSRC2	0.828099633
6918638	PANC0203	0.848042864
6918638	TE8	0.669351552
6918638	A673	0.716963543
6918638	SNU449	0.947383326
25154867	SF126	0.901305929
25154867	SNGM	1.317502062
25154867	ECGI10	1.120930652
25154867	HCC15	1.005362702
25154867	U2OS	1.341174655
