pubchem	clname	auc
444036	SKUT1	0.879587039
6708465	TE8	0.830792222
9826528	MDAMB175VII	0.547001247
9888590	YAPC	0.733882115
3610	HCT15	0.918284597
4011	NCIH2347	1.211918247
12035	RMGI	1.125888451
444732	OSRC2	0.594871615
17756796	RMGI	0.793971086
5614	SH4	0.895930479
38853	SNU449	1.252182036
54477	NCIH2228	1.452674364
5702228	SNUC5	0.675399614
53340666	RKN	0.791203548
6918837	SW948	0.444092146
3820	RMGI	1.426480593
37542	HCT116	1.131577484
3033769	SNU449	0.922360549
9911830	TE6	0.74448434
11382492	SW1990	0.828551461
33630	MSTO211H	0.790886959
72385	SNU449	1.310757681
3994	RCC10RGB	0.722639046
9826528	EBC1	0.604471257
9967941	U2OS	0.857705286
91668	RVH421	1.249472202
1697	NCIH28	1.294500953
5494449	MSTO211H	0.649268191
57469	NCIH1915	0.947775402
5288674	HCT116	0.807548096
97226	NCIH1915	0.402772433
65909	YAPC	1.054566368
10184653	EFO27	0.702817804
2249	SW1990	0.949831348
9915743	MCF7	0.854670859
224859	SJSA1	0.995265274
441328	OSRC2	1.098389394
6442177	YAPC	1.0
123692	JHH4	1.442966058
11485656	MDAMB231	1.0
6215	RCC10RGB	0.910834739
24889392	LOVO	0.86359935
24964624	LN229	0.895605481
3854666	TE8	1.490924455
60953	NCIH596	0.950017663
64715	NCIH1651	1.012176068
71271629	NCIH1651	0.835934331
60857	LOVO	1.447941202
4521392	OV7	1.227186891
444036	CORL105	0.704223496
9826308	A673	0.797223275
5281670	PANC0203	1.303310424
3033769	SH4	0.912415824
11313361	SJSA1	1.596581664
44483355	NCIH596	1.179540702
5288209	JHH4	1.231473301
5329480	SF126	0.788495021
64981	SF126	0.950211982
462382	HCT15	0.53634964
5328940	RKO	0.86567857
35802	CORL105	0.819209032
11715767	OVTOKO	0.864009092
5702051	HPAC	1.539152182
5281718	RMGI	0.78142619
46926350	NCIH1915	0.660284429
4369491	SW948	0.923526712
5702172	HCT116	0.877123402
9549284	TE6	0.856498856
689043	SW620	1.498430966
6307	HCC15	1.402867215
121926	NCIH1651	0.947182795
32798	TE8	1.000011084
11455910	CORL23	0.748645697
44607360	U2OS	0.839343086
5328940	SNU449	1.346055226
2930014	SW620	0.735506474
451668	OSRC2	0.979332024
5311	YAPC	0.883161406
46740	MCF7	1.246113349
5186	ECGI10	0.848463731
133621	NCIH838	1.092099072
638024	NCIH2347	1.055045517
442872	SH4	1.163748378
5329098	CORL105	0.949395923
5833	EFO27	0.947177754
9911463	RVH421	1.080103618
5283454	EBC1	1.071539505
56649450	ECGI10	0.972779733
9829523	TE10	0.735739425
10040286	A673	1.279599452
4996	SNUC5	0.92820479
25154867	SF295	1.554083091
9830392	SW620	0.818284101
6843	NCIH1915	1.000160495
30323	HCT15	0.762353278
3739	HOS	0.815776767
24775005	LN229	1.0
12035	HOS	1.082987093
21704	CORL105	0.890046875
4993	MCF7	1.156813924
4539	OVTOKO	0.816236723
197584	CL34	0.837232118
2993	JHH4	0.824056935
493570	MCF7	1.143057859
9829523	CORL105	0.740207215
11213558	HCT15	0.889959671
27924	EBC1	0.794295786
4173	U2OS	1.470636461
156414	TE8	0.803166942
25150857	RVH421	0.840679276
4369491	NCIH2347	0.885029826
10367662	LOVO	1.509829155
2482	RKO	0.892617276
64981	MDAMB175VII	0.896182022
11977753	PANC0203	1.0
4521392	MCF7	0.830043034
1645	AGS	0.985855125
11656518	NCIH2087	0.835688683
4173	OVTOKO	1.014322431
197584	RKN	1.353480233
11214940	NCIH838	0.96352246
3397	HPAC	1.660249737
9549284	JHH4	0.9286967
46244454	SF295	0.870648993
45375953	HOS	0.584024821
2159	SF126	0.737082586
481747	MDAMB175VII	0.983397791
11676786	SKUT1	1.0
44139710	CORL23	0.868392248
115210	MSTO211H	0.83292647
3038522	MSTO211H	1.380477287
3397	LOVO	1.290139657
2930014	NCIH1651	0.744500184
25150857	HT1080	0.762759294
817368	AGS	1.224315746
6230	JHH4	0.977323244
374536	A549	0.802814424
16720766	RVH421	0.891059271
11507802	SNU61	0.855950813
2249	SNUC5	1.038699034
5288209	A673	0.963671635
10184653	A673	0.825529698
6918540	NCIH838	1.170659904
9810884	OV7	1.284946739
5405	TE10	0.922498254
1401	U2OS	0.662301077
6445562	RVH421	0.788116259
123692	SJSA1	1.233290371
24964624	PC3	0.621977136
2244	TE10	0.910455002
10427712	HUH7	1.11349381
5707	U2OS	1.717899434
6918837	MDAMB231	0.565570851
5702095	HCC15	0.911079295
2746	SNU61	0.897641816
6604931	NCIH596	1.093051308
31307	EBC1	1.427115243
5362	SF295	0.99596396
5280805	CORL23	0.896956727
24360	NCIH2347	0.27104139
9840324	CORL23	1.055952214
4107	TE10	1.167980944
644241	AGS	0.938868029
5288674	COLO668	0.171062583
2145	SKUT1	1.0
24995524	AGS	0.604317708
2153	MCF7	0.843146005
5905	COLO668	0.896653054
2746	HCT15	1.0
5328768	RMGI	0.858609432
1548955	NCIH28	1.038606293
2794	MDAMB231	0.938784344
1986	NCIH838	1.05586377
44607530	SNU61	0.903383743
2747117	HT1080	0.86688566
60663	TE10	0.974676238
4713	MDAMB175VII	1.542872546
11667893	NCIH1915	0.97340001
3820	SF295	1.84324291
11656518	SF295	1.277048467
11977753	HT1080	0.82730205
6215	CAKI1	1.012331237
6843	MDAMB175VII	0.804107582
46885626	PANC0203	0.719161953
9911463	SF295	1.176838003
64715	CL34	1.170686418
4761	YAPC	0.837474831
46740	YAPC	0.901582118
33613	SNUC5	1.271101887
5328771	HPAC	1.205493544
151289	HT1080	0.827387183
5328940	YAPC	0.890263078
4431	NCIH2347	1.245212363
5070	MDAMB231	0.727351277
9444	NCIH596	0.988541243
5833	SNGM	0.770166231
2471	MDAMB175VII	1.530903151
5702164	HCT116	0.698756985
64715	NCIH2228	1.000111261
2478	SJSA1	0.891476656
1400	MSTO211H	0.75257795
224246	NCIH838	0.90871636
6710614	MCF7	1.136887819
3971	A375	1.418124705
46191454	AGS	0.662019288
25183872	COLO668	0.616023167
65981	SW620	1.146533255
21704	NCIH2087	0.927502371
107985	HPAC	0.269615287
25022668	SJSA1	1.108569742
6436	HCT116	1.458056387
44607360	MDAMB175VII	0.841929618
25150857	HPAC	0.842354067
236702	SW948	1.31628335
40634	OVTOKO	1.245760243
10461815	OVTOKO	0.977213465
17755052	COLO668	0.745366868
448042	MSTO211H	0.758178119
6445562	HCT15	1.0
2247	NCIH838	1.143385454
5281670	CORL23	1.397856063
60464	A673	1.408062381
6918837	SH4	0.677415917
44483163	SNU449	0.850143163
253602	COLO668	0.670016286
11338033	SKUT1	0.695904315
5702095	RKN	0.857695398
9911830	CAKI1	0.935364801
5870	YAPC	1.298757665
107985	SJSA1	0.07902821
16041424	SNU449	0.856266345
5702172	ECGI10	0.888659885
6436135	CAKI1	1.497713638
9911830	NCIH2347	0.913055799
5870	HT1080	1.091741469
11977753	ECGI10	0.904028073
163844	MDAMB231	0.945596419
3331	SNU61	1.154889495
2482	CORL23	1.034379147
6436135	LOVO	1.274928174
448799	RMGI	0.519796579
57469	SNU61	0.885987075
42611257	SNU449	0.847449604
3387354	PC3	0.853219192
5328771	EBC1	1.307987475
151289	HCT15	0.741080064
24775005	RVH421	1.0
126769	NCIH2087	0.932502868
27924	TE6	0.897266915
698112	LN229	1.065462894
2159	NCIH596	1.161085355
5405	A549	0.763551345
5405	SJSA1	0.952270781
